country,year,middle_class_wealth_share
AL,1998,0.3829
AL,1999,0.3828
AL,2000,0.3831
AL,2001,0.3827
AL,2002,0.3822
AL,2003,0.3821
AL,2004,0.3826
AL,2005,0.3829
AL,2006,0.3831
AL,2007,0.3845
AL,2008,0.383
AL,2009,0.3833
AL,2010,0.3834
AL,2011,0.3829
AL,2012,0.3831
AL,2013,0.3806
AL,2014,0.3779
AL,2015,0.379
AL,2016,0.377
AL,2017,0.3783
AL,2018,0.3797
AL,2019,0.3809
AL,2020,0.3809
AL,2021,0.3812
AL,2022,0.3806
AL,2023,0.3812
AL,2024,0.3812
AM,1980,0.389
AM,1981,0.389
AM,1982,0.389
AM,1983,0.3891
AM,1984,0.3891
AM,1985,0.3892
AM,1986,0.3893
AM,1987,0.3893
AM,1988,0.3893
AM,1989,0.3894
AM,1990,0.3894
AM,1991,0.3881
AM,1992,0.3855
AM,1993,0.3804
AM,1994,0.3723
AM,1995,0.3661
AM,1996,0.3541
AM,1997,0.3584
AM,1998,0.362
AM,1999,0.3634
AM,2000,0.3665
AM,2001,0.3688
AM,2002,0.3674
AM,2003,0.3687
AM,2004,0.3602
AM,2005,0.3621
AM,2006,0.3753
AM,2007,0.3741
AM,2008,0.3769
AM,2009,0.379
AM,2010,0.3732
AM,2011,0.376
AM,2012,0.3754
AM,2013,0.3749
AM,2014,0.3731
AM,2015,0.3711
AM,2016,0.3718
AM,2017,0.3656
AM,2018,0.3649
AM,2019,0.3723
AM,2020,0.3724
AM,2021,0.3724
AM,2022,0.3724
AM,2023,0.3651
AM,2024,0.3664
AO,1980,0.2659
AO,1981,0.266
AO,1982,0.266
AO,1983,0.2659
AO,1984,0.2659
AO,1985,0.2658
AO,1986,0.2657
AO,1987,0.2661
AO,1988,0.2657
AO,1989,0.2658
AO,1990,0.2659
AO,1991,0.2658
AO,1992,0.2657
AO,1993,0.266
AO,1994,0.266
AO,1995,0.2657
AO,1996,0.2661
AO,1997,0.2659
AO,1998,0.266
AO,1999,0.2658
AO,2000,0.2658
AO,2001,0.2695
AO,2002,0.2813
AO,2003,0.2995
AO,2004,0.3099
AO,2005,0.3161
AO,2006,0.3226
AO,2007,0.33
AO,2008,0.3361
AO,2009,0.3314
AO,2010,0.3255
AO,2011,0.32
AO,2012,0.3156
AO,2013,0.3099
AO,2014,0.3035
AO,2015,0.2945
AO,2016,0.2741
AO,2017,0.2688
AO,2018,0.2663
AO,2019,0.2662
AO,2020,0.2662
AO,2021,0.2663
AO,2022,0.2663
AO,2023,0.2662
AO,2024,0.2662
AR,1820,0.2659
AR,1850,0.2582
AR,1880,0.2413
AR,1900,0.2319
AR,1910,0.2217
AR,1920,0.2218
AR,1930,0.2217
AR,1940,0.223
AR,1950,0.2378
AR,1960,0.296
AR,1970,0.3003
AR,1980,0.3263
AR,1981,0.3262
AR,1982,0.3264
AR,1983,0.3262
AR,1984,0.3263
AR,1985,0.3265
AR,1986,0.3264
AR,1987,0.3265
AR,1988,0.3262
AR,1989,0.3265
AR,1990,0.3262
AR,1991,0.3264
AR,1992,0.3264
AR,1993,0.3262
AR,1994,0.3265
AR,1995,0.3263
AR,1996,0.3263
AR,1997,0.3265
AR,1998,0.3264
AR,1999,0.3261
AR,2000,0.3263
AR,2001,0.3196
AR,2002,0.3107
AR,2003,0.329
AR,2004,0.3323
AR,2005,0.3514
AR,2006,0.3602
AR,2007,0.3483
AR,2008,0.3685
AR,2009,0.3677
AR,2010,0.3652
AR,2011,0.3705
AR,2012,0.3719
AR,2013,0.3707
AR,2014,0.3679
AR,2015,0.3678
AR,2016,0.3676
AR,2017,0.3675
AR,2018,0.3675
AR,2019,0.3625
AR,2020,0.3576
AR,2021,0.3649
AR,2022,0.3634
AR,2023,0.3576
AR,2024,0.3547
AT,1980,0.3813
AT,1981,0.3814
AT,1982,0.3814
AT,1983,0.3815
AT,1984,0.3815
AT,1985,0.3815
AT,1986,0.3815
AT,1987,0.3815
AT,1988,0.3798
AT,1989,0.38
AT,1990,0.3801
AT,1991,0.3802
AT,1992,0.3818
AT,1993,0.3816
AT,1994,0.3816
AT,1995,0.3817
AT,1996,0.3815
AT,1997,0.3812
AT,1998,0.3808
AT,1999,0.379
AT,2000,0.3808
AT,2001,0.3813
AT,2002,0.3809
AT,2003,0.3804
AT,2004,0.3774
AT,2005,0.3767
AT,2006,0.377
AT,2007,0.3769
AT,2008,0.3756
AT,2009,0.3774
AT,2010,0.3762
AT,2011,0.377
AT,2012,0.3746
AT,2013,0.3721
AT,2014,0.3723
AT,2015,0.3673
AT,2016,0.3656
AT,2017,0.3573
AT,2018,0.3549
AT,2019,0.3553
AT,2020,0.3566
AT,2021,0.3535
AT,2022,0.354
AT,2023,0.3524
AT,2024,0.3518
AU,1820,0.315
AU,1850,0.3052
AU,1880,0.3108
AU,1900,0.2347
AU,1910,0.2348
AU,1920,0.3806
AU,1930,0.3857
AU,1940,0.3792
AU,1950,0.3827
AU,1960,0.394
AU,1970,0.3951
AU,1980,0.3888
AU,1981,0.3888
AU,1982,0.3887
AU,1983,0.3888
AU,1984,0.3887
AU,1985,0.3886
AU,1986,0.3885
AU,1987,0.3879
AU,1988,0.387
AU,1989,0.388
AU,1990,0.3883
AU,1991,0.3869
AU,1992,0.3872
AU,1993,0.3868
AU,1994,0.3863
AU,1995,0.3857
AU,1996,0.3856
AU,1997,0.3864
AU,1998,0.3855
AU,1999,0.3854
AU,2000,0.3847
AU,2001,0.3849
AU,2002,0.3835
AU,2003,0.3835
AU,2004,0.3827
AU,2005,0.3822
AU,2006,0.3819
AU,2007,0.3815
AU,2008,0.3807
AU,2009,0.3793
AU,2010,0.3801
AU,2011,0.3792
AU,2012,0.3785
AU,2013,0.3785
AU,2014,0.3778
AU,2015,0.3796
AU,2016,0.3813
AU,2017,0.3794
AU,2018,0.3784
AU,2019,0.3794
AU,2020,0.3793
AU,2021,0.3739
AU,2022,0.3741
AU,2023,0.3751
AU,2024,0.3742
AW,1980,0.2744
AW,1981,0.2747
AW,1982,0.2753
AW,1983,0.2756
AW,1984,0.2764
AW,1985,0.2768
AW,1986,0.2775
AW,1987,0.278
AW,1988,0.2784
AW,1989,0.2758
AW,1990,0.2771
AW,1991,0.2796
AW,1992,0.2801
AW,1993,0.281
AW,1994,0.2828
AW,1995,0.2906
AW,1996,0.2911
AW,1997,0.2926
AW,1998,0.2943
AW,1999,0.2952
AW,2000,0.2957
AW,2001,0.297
AW,2002,0.2979
AW,2003,0.3002
AW,2004,0.3025
AW,2005,0.3039
AW,2006,0.3051
AW,2007,0.306
AW,2008,0.3075
AW,2009,0.3086
AW,2010,0.3094
AW,2011,0.3121
AW,2012,0.3151
AW,2013,0.3182
AW,2014,0.3202
AW,2015,0.3231
AW,2016,0.3269
AW,2017,0.3298
AW,2018,0.3326
AW,2019,0.3355
AW,2020,0.3387
AW,2021,0.3397
AW,2022,0.3388
AW,2023,0.3385
AW,2024,0.3389
AZ,1980,0.3889
AZ,1981,0.389
AZ,1982,0.389
AZ,1983,0.3891
AZ,1984,0.3892
AZ,1985,0.3892
AZ,1986,0.3893
AZ,1987,0.3893
AZ,1988,0.3893
AZ,1989,0.3894
AZ,1990,0.3894
AZ,1991,0.3881
AZ,1992,0.3855
AZ,1993,0.3805
AZ,1994,0.3724
AZ,1995,0.3663
AZ,1996,0.3649
AZ,1997,0.3642
AZ,1998,0.3647
AZ,1999,0.3638
AZ,2000,0.3648
AZ,2001,0.3648
AZ,2002,0.3753
AZ,2003,0.3761
AZ,2004,0.3749
AZ,2005,0.3735
AZ,2006,0.3677
AZ,2007,0.3652
AZ,2008,0.374
AZ,2009,0.3745
AZ,2010,0.3755
AZ,2011,0.3747
AZ,2012,0.3736
AZ,2013,0.3745
AZ,2014,0.3745
AZ,2015,0.3753
AZ,2016,0.3767
AZ,2017,0.3752
AZ,2018,0.3752
AZ,2019,0.3752
AZ,2020,0.3752
AZ,2021,0.3752
AZ,2022,0.3752
AZ,2023,0.3751
AZ,2024,0.3751
BA,1980,0.388
BA,1981,0.388
BA,1982,0.388
BA,1983,0.388
BA,1984,0.3877
BA,1985,0.3879
BA,1986,0.388
BA,1987,0.3877
BA,1988,0.3869
BA,1989,0.3882
BA,1990,0.3883
BA,1991,0.388
BA,1992,0.3877
BA,1993,0.3873
BA,1994,0.3867
BA,1995,0.3858
BA,1996,0.3855
BA,1997,0.3852
BA,1998,0.3845
BA,1999,0.3847
BA,2000,0.3845
BA,2001,0.3838
BA,2002,0.3828
BA,2003,0.3818
BA,2004,0.3815
BA,2005,0.3816
BA,2006,0.3819
BA,2007,0.3822
BA,2008,0.3811
BA,2009,0.3814
BA,2010,0.3812
BA,2011,0.3807
BA,2012,0.381
BA,2013,0.3811
BA,2014,0.3811
BA,2015,0.3809
BA,2016,0.381
BA,2017,0.3805
BA,2018,0.3809
BA,2019,0.3814
BA,2020,0.3814
BA,2021,0.3812
BA,2022,0.3807
BA,2023,0.381
BA,2024,0.381
BB,1980,0.2744
BB,1981,0.2747
BB,1982,0.2753
BB,1983,0.2754
BB,1984,0.2763
BB,1985,0.2767
BB,1986,0.2776
BB,1987,0.2777
BB,1988,0.2783
BB,1989,0.2758
